Timestamp,Factory_ID,Industry_Type,pH,Nitrate_Concentration,Temperature,Pollution_Flag
2023-01-01 00:00:00,52418865-e64a-495f-b73a-1e599a004de2,textile,7.88,10.65,23.97,0
2023-01-01 01:00:00,4681bc14-4af9-46c8-8d1b-bb8b7877f1cc,chemical,,15.91,15.94,0
2023-01-01 02:00:00,5cfe53dc-e7a8-44ff-9f81-cc3642b592d5,food_processing,6.36,8.55,15.53,1
2023-01-01 03:00:00,bf2f93e7-a732-4f2b-8252-72b9b7477bed,textile,7.62,9.7,23.8,0
2023-01-01 04:00:00,ebb14d3f-52a8-4a7e-a17b-791013e22ff5,food_processing,6.94,7.96,12.85,0
2023-01-01 05:00:00,bf2f93e7-a732-4f2b-8252-72b9b7477bed,textile,7.53,10.14,,0
2023-01-01 06:00:00,bf2f93e7-a732-4f2b-8252-72b9b7477bed,textile,7.85,12.45,23.11,0
2023-01-01 07:00:00,52418865-e64a-495f-b73a-1e599a004de2,textile,7.03,8.52,22.53,0
2023-01-01 08:00:00,bf2f93e7-a732-4f2b-8252-72b9b7477bed,textile,8.31,46.33,21.82,1
2023-01-01 09:00:00,52418865-e64a-495f-b73a-1e599a004de2,food_processing,6.68,7.24,14.51,0
2023-01-01 10:00:00,ebb14d3f-52a8-4a7e-a17b-791013e22ff5,food_processing,6.99,2.83,14.92,0
2023-01-01 11:00:00,02ea9e81-da98-48dc-9900-d181d06fb13f,textile,7.26,12.43,23.6,0
2023-01-01 12:00:00,ebb14d3f-52a8-4a7e-a17b-791013e22ff5,textile,7.7,10.96,22.76,0
2023-01-01 13:00:00,dc40083a-1d5a-4f32-a4aa-3603203399bb,textile,7.43,9.18,21.43,0
2023-01-01 14:00:00,ebb14d3f-52a8-4a7e-a17b-791013e22ff5,food_processing,,,,0
2023-01-01 15:00:00,dc40083a-1d5a-4f32-a4aa-3603203399bb,food_processing,6.69,3.94,14.22,0
2023-01-01 16:00:00,dc40083a-1d5a-4f32-a4aa-3603203399bb,food_processing,7.1,5.4,12.63,0
2023-01-01 17:00:00,50eced4d-3f66-4e18-aa8a-7b93ba9a8b95,chemical,5.41,17.82,16.12,0
2023-01-01 18:00:00,4681bc14-4af9-46c8-8d1b-bb8b7877f1cc,textile,7.55,9.84,22.51,0
2023-01-01 19:00:00,dc40083a-1d5a-4f32-a4aa-3603203399bb,textile,7.59,10.72,22.17,0
2023-01-01 20:00:00,bf2f93e7-a732-4f2b-8252-72b9b7477bed,textile,,11.05,21.42,0
2023-01-01 21:00:00,dc40083a-1d5a-4f32-a4aa-3603203399bb,chemical,5.32,14.78,16.66,0
2023-01-01 22:00:00,50eced4d-3f66-4e18-aa8a-7b93ba9a8b95,chemical,5.48,13.5,18.56,0
